Name,Room,Customer Name,Customer Fisrt Message,Sales Reply Message,Reply Time (min),Message Time,Message ID
曹啸,句子,古古有月,,稍等,139.85,1:19:29 PM,1037583
曹啸,句子互动服务群—建信融通,Rt-黄蕾,@曹啸 麻烦协助看下句子，谢谢,"""Rt-黄蕾：
@曹啸 麻烦看下句子，谢谢""
------
@Rt-黄蕾  可以出码了 重试一下吧",21.65,9:33:09 AM,1036897
曹啸,句子互动服务群—建信融通,Rt-黄蕾,好的，谢谢,稍等,46.80,10:20:27 AM,1037089
曹啸,句子互动服务群—建信融通,Rt-黄蕾,好的 谢谢,稍等,192.20,2:00:55 PM,1037724
曹啸,句子互动服务群—建信融通,Rt-黄蕾,刷新后还是未生成@曹啸 ,老师 您刷新下页面试下,6.08,2:10:39 PM,1037754
曹啸,句子×booming执行群,遇见,,不应该 刚刚测可以点掉的，您刷新下页面，可能是网络延迟 加载慢了,2.70,10:07:50 AM,1036961
曹啸,句子×booming执行群,遇见,我们好几个人都试了,"""遇见：
我们好几个人都试了""
------
@遇见  老师目前我们做了优化，这个提示只会在全部列表中显示，在我的列表和待分配列表中 不会有显示了",6.23,11:38:26 AM,1037380
曹啸,句子×booming执行群,站住@,嗷嗷， 好滴  ,老师 这个问题我们已经反馈之后优化，优化好了我同步您,121.92,2:54:07 PM,1037847
曹啸,句子×booming执行群,Side,,"""Side：
请问这个自定义标签为啥不同步""
------
@Side  老师 是一个所属微信的好友吗？",17.63,7:24:05 PM,1038427
曹啸,句子×booming执行群,Side,"「曹啸：""Side：
请问这个自定义标签为啥不同步""
------
@Side 老师 是一个所属微信的好友吗？」
- - - - - - - - - - - - - - -
先说这个哈",,2.20,7:27:28 PM,1038442
曹啸,句子×booming执行群,Side,,,2.53,7:31:32 PM,1038463
曹啸,句子×booming执行群,Side,好我反馈下次试试,"“遇见：
「曹啸：
您点下这个圈 同步一下」
- - - - - - - - - - - - - - -
同步要多久”
------
点完没有同步到吗？您在客户分层页面搜下这个人",12.78,7:50:21 PM,1038514
宋宗强,句子×booming执行群,遇见,衣恋-客户分层没有权限查看,您联系一下衣恋的同事  他们应该是把客户分层的权限关闭了,2.75,8:56:34 PM,1038598
曹啸,句子-一起作业 对接,魏姣,@曹啸   老师，您那边现在方便语音吗？近期的数据问题较多，我们可以对接排查下是什么原因导致？,方便的,3.97,10:44:05 AM,1037215
宋宗强,句子-一起作业 对接,魏姣,okk,"宋宗强 邀请您参加腾讯会议
会议主题：宋宗强的快速会议
会议时间：2021/11/19 10:46-11:46 (GMT+08:00) 

点击链接直接加入会议：
https://meeting.tencent.com/dm/y6YUBtpj3QBB

会议ID：597 557 297

复制该信息，打开手机腾讯会议即可参与",3.08,10:48:44 AM,1037224
曹啸,句子-一起作业 对接,魏姣,收到,@魏姣  老师 12  14  17号这几天 没有数据的 和数据不准的情况 辛苦老师分别提供几个案例 我们排查一下,27.67,11:17:09 AM,1037329
曹啸,句子-一起作业 对接,魏姣,12号案例：,"""魏姣：
好的，我让客服汇总下""
------
@魏姣  老师现在方便语音吗？跟您同步一下 绩效生效范围的情况",3.55,11:41:16 AM,1037386
曹啸,句子-一起作业 对接,魏姣,方便的,好的 稍等,176.75,2:38:11 PM,1037808
曹啸,句子-一起作业 对接,魏姣,好的 辛苦老师,"""魏姣：
好的 辛苦老师""
------
@魏姣  老师 我们排查了14号的绩效数据 14号的绩效数据一直都是正常的 没有问题，少数据是因为未开群聊统计",48.92,3:37:02 PM,1037898
曹啸,句子-一起作业 对接,魏姣,"""曹啸：
@魏姣  老师 我们排查了14号的绩效数据 14号的绩效数据一直都是正常的 没有问题，少数据是因为未开群聊统计""
------
@曹啸  收到，辛苦老师了",稍等,13.75,3:57:25 PM,1037971
曹啸,句子互动服务群-博时基金,Hh,,稍等 我看下,10.32,4:30:52 PM,1038057
宋宗强,薇诺娜&句客宝,昕莫,,"1、建议您先把最大接待人数调整一下，目前是9999，
2、调整完以后关闭在线状态够等1分钟再开启",3.38,11:53:37 AM,1037425
宋宗强,薇诺娜&句客宝,Anne,@宋宗强 赵文静,这个分组托管的账号在企业微信后台确认都已经完成授权了对吧,3.83,12:01:15 PM,1037458
宋宗强,薇诺娜&句客宝,昕莫,@宋宗强 ,小组成员的名字叫什么,4.47,12:16:46 PM,1037492
宋宗强,薇诺娜&句客宝,昕莫,有的、,稍等我查一下,51.32,1:17:19 PM,1037575
曹啸,句子互动服务群-楚梵基业OEM,Lx,,配置的参数有误，您生成小程序后 直接发给机器人，尽量少转发 然后在秒回保存,2.07,10:15:47 AM,1036997
宋宗强,句子互动服务群-楚梵基业OEM,Lx,,"小程序ID：wx50282644351869da
关联的公众号ID：gh_38a3b942dcc5@app
跳转路径：pages/getCoupons/index.html?storeId=303&ppId=6188bb4b9f1585086524732b&ignorePpId=1
ICON地址：http://mmbiz.qpic.cn/mmbiz_png/5tv7LN5QQzPzuf7NiarHYrLLUKRF02DRyF5mZYG5sEA0BTFibn0Rr4tuib8GPn1LKeChnSRmvgFAudbGFb6icTaD5A/640?wx_fmt=png&wxfrom=200



",2.62,10:23:37 AM,1037124
宋宗强,句子互动服务群-福州君明,波,wechaty 的  ， ,把token提供一下,11.92,9:26:05 AM,1036863
宋宗强,句子互动服务群-福州君明,波,联系下微信  17681336699,是你的客户 还是我们的客户？,3.45,9:31:25 AM,1036881
曹啸,句子互动VIP服务群-Zenlayer,Rey Shi,你好，这个返回顶部的功能能否优化一下，目前点了这个之后，这个提示会一直存在，挡住了会话列表,老师 一直存在是因为会有新的对话进来，所以会一直有提示，目前我们做了优化 这个提示只会在全部列表中显示，在我的和待分配列表不会显示,10.17,11:55:41 AM,1037434
曹啸,句子互动VIP服务群-Zenlayer,Rey Shi,能不能改成当我已经在顶部的时候就不会显示这个了,我跟技术反馈了 我们我们应该会做相应的优化的,123.33,2:01:31 PM,1037727
曹啸,句子互动服务群-博时基金,Hh,,稍等 我看下,10.32,4:30:52 PM,1038057
曹啸,句子互动服务群-泡泡玛特,Abyss,10、8号卡住了 辛苦看下,稍等,3.12,2:09:06 PM,1037751
曹啸,句子互动服务群-泡泡玛特,Pxtzzz,"泡泡星球罗盘座-星系87
泡泡星球罗盘座-星系94
泡泡星球罗盘座-星系93
泡泡星球罗盘座-星系92
泡泡星球罗盘座-星系84","""Stan the Man：
另外 昨天晚上是否有发版 是否发送卡顿的问题已经彻底解决""
------
@Stan the Man  老师 群发重构版本还未上线，现在正在测试。",8.05,3:58:30 PM,1037977
曹啸,句子互动服务群-泡泡玛特,金,今天18点以后就没有消息推送了，现在就可以做迁移,稍后我们给账号迁移一下,14.25,6:58:12 PM,1038367
曹啸,句子互动服务群-泡泡玛特,金,好的,@金  老师 已经迁移完成了,26.32,7:25:01 PM,1038436
宋宗强,句子互动&诺亚财富私有化部署沟通群,Along,群发接口返回的状态码 code 只有为0 的时候才会有发送的消息吧，,"""后端-聂家龙：
如果是分页发送，最后一页hasMore为fasle的那一页请求如果失败了，那这整批次的消息还会发送吗""
------
@Along  不会发送出去",22.17,11:18:03 AM,1037332
宋宗强,句子互动&诺亚财富私有化部署沟通群,Along,"那分页发送 的群列表，只能是下面几种情况都满足才会真正发送吗？
1、调用发送请求成功，且回参中的失败列表不包含的群id
2、有且只有一次请求的hasMore为false或者不传
3、群列表 在hasMore为false或不传的 那次请求之前或当次成功 的群列表",我们确认一下,103.23,1:18:29 PM,1037578
宋宗强,句子互动&诺亚财富私有化部署沟通群,Along,"「后端-聂家龙：群发接口返回的状态码 code 只有为0 的时候才会有发送的消息吧，」
- - - - - - - - - - - - - - -
@曲洪锋 创建群发消息 的时候返回的code不为0，我用相同的参数重新调用接口，这样不会出现重复发送消息的情况吧","""后端-聂家龙：
「后端-聂家龙：群发接口返回的状态码 code 只有为0 的时候才会有发送的消息吧，」
- - - - - - - - - - - - - - -
@曲洪锋 创建群发消息 的时候返回的code不为0，我用相同的参数重新调用接口，这样不会出现重复发送消息的情况吧""
------
@Along  只有创建成功的时候才回去发送，如果code不为0的时候群发并没有创建完成不会开始发送。",36.33,3:28:52 PM,1037880
宋宗强,句子互动&诺亚财富私有化部署沟通群,Along,两个判断条件都要用到吗,只有code为0时 才有isCreated,10.23,3:41:43 PM,1037910
宋宗强,句子互动&诺亚财富私有化部署沟通群,Along,那code为0的时候，isCreated 为false呢,就不会发送   创建未完成可以继续请求直到创建完成或者超过15分钟被删除,23.65,4:06:27 PM,1037985
宋宗强,句子互动&诺亚财富私有化部署沟通群,Along,嗯嗯,"""诺亚财富 产品 曾畏：
[图片]""
------
@Mark.Z  您点一下右上角的同步已有员工",77.00,5:27:19 PM,1038167
宋宗强,句子互动&诺亚财富私有化部署沟通群,Mark.Z,还是没有[Emm],您在手机端的看看有这几名成员吗,5.53,5:48:52 PM,1038232
宋宗强,句子互动-功夫豆服务群,。。。,后期可以实现嘛,想跟您再确认一下，这个消息是怎么实现在企业微信上显示的,2.90,10:05:06 AM,1036931
宋宗强,句子互动-功夫豆服务群,。。。,企业微信官方有这个微信客服的功能,了解  他接入的是个人微信的消息对吧,9.60,10:15:17 AM,1036991
宋宗强,句子互动-功夫豆服务群,。。。,嗯嗯,我们测试一下底层看看支不支持,2.23,10:17:46 AM,1037024
宋宗强,句子互动-功夫豆服务群,。。。,嗯嗯，企业微信官方后台也有这个功能，你们可以试一试,好  我们测一下,2.78,10:21:03 AM,1037099
宋宗强,句子互动-功夫豆服务群,。。。,好的,记得帮我托管一下哈,159.52,1:39:33 PM,1037631
宋宗强,句子互动-功夫豆服务群,。。。,有结果了吗,我们测试了一下 查了一下日志   给我反馈是我们不支持在秒回后台显示，目前底层还不支持,5.80,4:23:49 PM,1038039
宋宗强,句子互动-功夫豆服务群,。。。,[捂脸][捂脸]好吧,实在抱歉哈   您可以先测其他的功能,2.52,4:26:58 PM,1038051
宋宗强,句子互动服务群-福州君明,波,wechaty 的  ， ,把token提供一下,11.92,9:26:05 AM,1036863
宋宗强,句子互动服务群-福州君明,波,联系下微信  17681336699,是你的客户 还是我们的客户？,3.45,9:31:25 AM,1036881
曹啸,句子,古古有月,,稍等,139.85,1:19:29 PM,1037583
曹啸,句子互动服务群-楚梵基业OEM,Lx,,配置的参数有误，您生成小程序后 直接发给机器人，尽量少转发 然后在秒回保存,2.07,10:15:47 AM,1036997
宋宗强,句子互动服务群-楚梵基业OEM,Lx,,"小程序ID：wx50282644351869da
关联的公众号ID：gh_38a3b942dcc5@app
跳转路径：pages/getCoupons/index.html?storeId=303&ppId=6188bb4b9f1585086524732b&ignorePpId=1
ICON地址：http://mmbiz.qpic.cn/mmbiz_png/5tv7LN5QQzPzuf7NiarHYrLLUKRF02DRyF5mZYG5sEA0BTFibn0Rr4tuib8GPn1LKeChnSRmvgFAudbGFb6icTaD5A/640?wx_fmt=png&wxfrom=200



",2.62,10:23:37 AM,1037124
宋宗强,薇诺娜&句客宝,昕莫,,"1、建议您先把最大接待人数调整一下，目前是9999，
2、调整完以后关闭在线状态够等1分钟再开启",3.38,11:53:37 AM,1037425
宋宗强,薇诺娜&句客宝,Anne,@宋宗强 赵文静,这个分组托管的账号在企业微信后台确认都已经完成授权了对吧,3.83,12:01:15 PM,1037458
宋宗强,薇诺娜&句客宝,昕莫,@宋宗强 ,小组成员的名字叫什么,4.47,12:16:46 PM,1037492
宋宗强,薇诺娜&句客宝,昕莫,有的、,稍等我查一下,51.32,1:17:19 PM,1037575
曾璐,句子科技服务群-爱亲母婴,孟浪,@曾璐 你好,这个不清楚哦,13.22,11:28:20 AM,1037344
