销售名,群聊名,顾客名,顾客发送消息,销售回复消息,回复时长（分钟）,回复日期,回复日期点,消息 ID
技术支持,句子互动&诺亚财富私有化部署沟通群,Along,"最后一页（haseMore是false或者不传入）返回数据，按我的理解是会出现以下几种情况：
1、code不为0，就是创建失败
2、code为0，isCreated为true
3、code为0，isCreated为false
我现在只测出来 情况2；情况1我理解，可以去看错误码；问题是情况3我测不出来，也不理解，还是说根本就不会有情况3",嗯，目前看应该是不存在情况3的,13.35,11/22/2021,11:57:45 AM,1039589
宋宗强,句子互动&诺亚财富私有化部署沟通群,Along,好的，谢谢,好的   请稍等,1587.95,11/23/2021,2:30:58 PM,1041504
宋宗强,句子互动&诺亚财富私有化部署沟通群,龚兆资丿月月,👌,@Along  报什么错误码了吗？,5.73,11/23/2021,2:37:08 PM,1041528
宋宗强,句子互动&诺亚财富私有化部署沟通群,Along,直接就是返回给了我一个网页信息,您确认一下VPN是否链接,2.32,11/23/2021,2:40:01 PM,1041540
宋宗强,安徽节点信息,DemoGouhiLi,你好，请问一下你们如果主动加了用户。会有用户会话ID的回调嘛？,请稍等  ,2.52,11/22/2021,11:19:01 AM,1039479
宋宗强,安徽节点信息,DemoGouhiLi,是的，就是加完好友之后会有不是有会话嘛,可以通过externalUserid 获取chatid,48.58,11/22/2021,12:15:56 PM,1039598
宋宗强,安徽节点信息,DemoGouhiLi,这个是需要句客宝的token吧,奥对 ,2.08,11/22/2021,12:29:32 PM,1039616
宋宗强,安徽节点信息,DemoGouhiLi,不过我看你们接口没有提供会话id,是新加的好友吗,109.47,11/22/2021,2:35:52 PM,1039851
宋宗强,安徽节点信息,DemoGouhiLi,是新加好友的。这边方便可以语音沟通一下嘛？,欢迎使用高效微信管理系统，电脑浏览器打开：http://crm.botorange.com 进行注册，注册时输入企业邀请码【U0HB3R】即可开始你的秒回之旅。,150.90,11/22/2021,5:13:53 PM,1040291
宋宗强,云乎科技,Dlim,hello~需要再购买5个token 辛苦哈@宋宗强,稍等,5.75,11/22/2021,10:14:38 AM,1039243
